ID,Nombre,Categoria,Precio,Stock
8479,BzqSKfGO,JMeoqiEb,15.68,125
9186,HnVkgqyS,USOEB5Et,622.97,628
9230,GiVF3UOU,Fm0KgbIY,444.99,426
3801,m8xo0rH0,QE5cfLLp,875.43,743
3161,gwIoRM1W,VnRBJWad,849.41,84
9762,xM4T0sj6,mmfmhkVl,1770.63,922
2460,Q3CHNOc0,KJtojzDx,27.67,211
7936,LNe94kxY,16PWHY9a,758.24,587
5500,U6AjG162,CPbLjzpL,63.65,829
8251,B0J1jtwx,cIv7qFi0,1010.51,111
9902,mw5x8VlJ,ORfvGgi7,575.86,479
5329,gEHYm4w6,cxSiKP8M,276.16,381
4604,yuf3mbvl,eYVDN8Nn,1727.27,567
552,Q4dxnNkN,H8lxDJoQ,168.11,545
7848,9dB7wkFS,ZHBdnkZF,798.81,925
6296,oMoQEaM3,Vpnf4mpZ,1901.04,903
5251,JqwvFfWV,ABcL9nzG,671.34,761
9201,ZxIBArM7,ma4nhg36,615.56,402
554,IN55w8La,n3YQdxTw,1030.85,836
5219,K0pMOzFX,a7SUh7tf,542.61,509
7404,fzGlUd6u,6Kq6xfCX,877.00,363
9316,ODtNs5K0,549ba2VD,1500.50,742
7046,HDt3B5RJ,ttRMej74,1835.93,651
570,t6W5wbTR,eNPBI6gF,306.87,49
3135,PX0jyvRD,EKB2qBNj,40.45,847
481,y8Qe4aUB,6M8WDUYw,1286.43,551
2498,eE2d7Jno,Bp7gO2Ys,844.52,47
4560,E9j0Y0Fn,FlrNgLSk,1281.95,451
6616,O6LCraFd,WRcATohP,1604.15,908
8617,ZT7TsRSM,ygl109mz,36.67,750
2170,TIpORQ0V,njVzZsie,1450.71,441
8945,PaJoOPPc,RNrxZ8Yt,1211.46,573
952,Lad01iTQ,PyricOvR,458.73,872
5188,0Qhifxsx,sVGgUsW5,1232.39,78
4601,5VBKm2e1,PpvoXRIp,1312.03,810
5111,Qnde0t5B,eyc1w0i9,1363.86,698
8746,HYz64IKu,nPgFcRUK,85.25,87
5588,WrQ2c8pX,mbr5HB0X,1087.72,437
6863,Uoi6eAvs,qlBE0IrV,1120.10,458
209,nNLe4GdB,4HKo6tnj,1814.78,907
2896,cT6WZGFw,6HmWZ7h9,706.00,718
2037,wVoOURkm,WM2dNt03,1767.91,9
358,5GgaGPIr,S05J6kc0,660.82,79
8717,cTLWXnWz,skemRHLO,119.33,759
2195,4QMTWPFG,PvimsFjC,496.92,838
5919,krT283e2,PcgaJUSb,664.94,509
5957,78SDOYuq,KLiEw84c,87.73,160
1490,q4BDhV1Z,jYE0eNCr,66.69,861
500,lBs5QwAy,8lRpo0r2,1697.44,747
7760,dTraKJQH,QLSZgkzo,30.06,810
549,IgIU408i,wXtgUl81,1068.10,906
8576,s7mNSdm3,8ApaLsHJ,1195.50,109
7555,cVxsHxgi,RWw3Kcvb,255.28,637
1480,GN6OVMTb,nCyHknuW,1068.56,420
2737,sbvlPtJ8,9b0TCyKA,1671.83,102
6531,rtL7Kyzm,wza7ffFu,529.96,779
5567,HmSMXzsb,11mARVb3,1981.57,163
9950,AppVz8wg,XPA81uS0,1922.37,966
7861,XfHmNOk2,JJHM5RKs,1344.73,629
7547,6uxEgmrn,ElniEsQ4,904.38,920
9232,M9zjwhAx,i24xOVqj,191.71,233
9155,KpG8l1e8,irhZZyPj,1783.31,435
2872,WjjhvHXr,7Wt2l3io,1439.74,891
5383,zLwVxb8A,cKKh2abY,816.93,496
5081,YxhLTi6d,TTMfo2EK,1143.11,924
6252,LCbv33rO,hkk5YxcV,146.64,263
1796,cQtMWH3L,IJLrCsVf,234.92,503
7810,SnhDEfBb,2fAs6ZFN,1358.59,201
3666,RjmiFi9Q,sRsUHwen,1619.37,298
7840,iZBaSrmt,WCgu06D8,1856.61,924
2774,5V5Raybq,FNpF39iv,1307.50,327
6604,a8uebt5q,eibY5gll,1666.03,912
4577,SfOXBOmk,vT51EYca,681.45,180
9944,ll83SkmO,Y8JO2KK5,1928.48,423
2835,3fdUS48s,XyAOxj9P,1627.10,291
4251,2qKSaE6s,FZo95Nkp,1861.86,275
7205,hLEjXqH8,fegj087O,399.18,150
6951,RFzinaug,4GbuRlpm,92.28,298
1045,5NyNIx38,Zp1KMyaS,1492.18,695
6494,bEQ1GLin,NCPHNzws,973.10,748
2585,WmKrQRnf,RQPHMNWE,1747.23,480
7717,UcB70vcw,TvyiWdJu,843.51,136
3501,9O7HB1Fb,GA4TwUj8,455.88,73
3331,3US7fykz,UyFilzO3,466.37,503
6239,aveoAHKV,FeAPrUT8,626.25,338
3087,hJQY5sI4,FHhaioKo,1363.46,773
2771,7FB64EXv,oE5YXeWp,706.55,819
9952,WoszcRo1,QbN2OcvR,1219.84,154
7084,AGd8LlRt,4tglEzjH,617.89,941
7207,viFqONkJ,6EhesrHU,1408.20,188
2894,QjGLnb48,uCtFfFuv,1978.17,609
3925,Dlxe0aVy,f6ltWWBQ,60.82,136
9628,gywsaEZL,EhzGVWNP,915.22,553
2362,me1yrZ87,btsHYzcG,213.28,871
7222,8CGjb9hf,zJLUM4Gr,1053.34,609
3094,iT9YtSMN,0rZKCYYG,1039.71,555
6080,E85cASlk,3NKOjXc8,300.12,630
2348,waZbzXXv,EKGd9gjy,779.73,452
2777,ZbV0a0T8,ntHznNfb,82.32,408
1643,JQU2igEl,22l2Q76J,825.28,765
7785,d7DdQpCA,KGWrcyqg,1563.09,72
3894,Fbc3yzoL,8u75Ofr1,636.35,100
9549,O79pyTl7,Oyqz9JQ0,1215.24,601
8425,j6yGa2r1,BzsPwpX4,1651.65,580
181,zuTDXVEb,ttlLfPqb,1001.51,522
4142,wgUiT6tf,9nUNGBEU,75.13,154
2180,4sKs9unj,ytHx0Xl2,329.90,611
8107,obpETU6H,KUH47eyq,1354.04,270
3646,ENKaiM1U,LY0oneFn,280.07,415
9146,qJ09Djf7,HZyMZ1gL,1646.55,410
6367,PnnPVRw9,io6Y9iOI,747.71,450
7125,sbCAv6Fx,0UCxwzb6,130.99,492
1156,JNLraC9G,NPkytoZz,566.48,35
5106,JzENWjIl,BOBaDfll,1794.87,162
6521,KwyeDkdv,Hi7FEMN4,150.83,590
3734,9ftsZyei,eNpQCGKN,1348.40,879
1540,CpPcqMiz,UvCDZb2Y,805.90,154
9423,BmAXJJ7S,n1zqXYPc,1977.58,242
3311,3tw6UNpT,4Nh8Xu01,1834.95,923
9482,rZAGLepN,6fF8mQK4,1848.28,368
6561,J2nzFKnE,9K7WjyuN,689.08,279
7405,una2uVKn,ph1A4Hdy,1813.15,956
7704,E4hYHNqy,SAvptlep,53.38,502
8363,kq5vKi7R,Fhlpvtju,258.13,743
6733,aiHdsuib,3gEdUzo8,731.53,56
3612,V8TETbpX,Wf8OkbB2,1657.89,320
1236,VNuaYaP6,awhHV9ua,587.94,807
9233,EIpMqmdE,hTDSDmB4,521.09,966
6486,JiizSGQm,HFXb4BXP,693.62,137
8210,CjoT8ToT,fWdFve8J,1794.25,665
1049,eYu2w7y0,OdQidA6A,933.12,746
4098,DeArEevN,UAQVmRPt,552.40,388
7422,CTBTXR3Z,XlJPkgeF,1124.42,902
7714,zhqx0VFV,06LkaHtn,1754.18,726
118,tzLguAUv,kALB8H9Q,159.21,142
4596,cVcgxLsz,FQjqhzX2,1792.84,649
1828,ftI089Ox,YgI8BmCz,1522.88,305
8220,g4jXPoq9,gLZ5SHi0,1858.30,692
5636,b1dLzv4R,Hr2Dw1U2,773.19,210
8620,GWw3hcrA,F3inq3dC,1900.73,104
2135,Jx1FxF3T,YlBZMDMs,18.11,277
9878,9coNGSKh,MklerJSw,977.98,153
1351,Knq9YiPd,yIxlAFbD,1344.51,618
2038,49UZZ9Yi,97on0IqO,1751.51,997
283,xPniSezP,rpl3qyk2,1809.05,937
4163,4ec8wmd4,WLUDTkxH,876.61,171
7462,NH2kpFBj,tksrqJun,688.42,895
9978,EV7bTV9E,EZO5f2JM,478.20,963
5356,ikm0DbD7,htGLfoD1,1953.01,569
3903,3e6oGXiS,zV2I6pQp,769.21,0
7037,fY2Kd3sf,N6U3EEeI,1831.84,162
6622,Mp6d85hg,btD6lLJH,954.53,513
2209,eJUhjXca,4NSX1WOq,168.05,944
1318,1WE6ulOP,pGxltBO6,927.98,655
337,9EZd5H8F,7i09lSIC,926.26,18
2343,u5jsyGOQ,BJ9lSGsK,439.98,110
6610,Ogvx2ONr,TAhIUvw8,387.33,565
465,kQnU1zh0,zjjiiwfg,1541.46,760
8819,17RwCQ2x,STd3ll6l,911.04,71
574,JZf5fsMt,t3M972KO,1763.99,317
3770,O7eGLqyu,2pWLZGJO,838.73,106
7660,4ZCvNkjC,qqvMcQqv,1459.27,70
7969,f1zhHpUO,hKmItgrc,66.62,737
4342,EyJhgVPu,Z3aUviim,1334.01,177
5920,TrzcVlKP,N2xm94zn,166.85,792
1408,8NALviOQ,kkzByguV,128.86,707
7177,ZBxeoGsq,oWbX3JyQ,662.29,827
1707,41NYLaIc,AOluwHW7,1350.41,110
4682,G54bgFrf,8Hk5BXij,1890.23,494
3804,QpoBN0Rk,7VktzUEd,1762.61,614
6186,1CEfGwLA,pfzimnwn,1104.11,906
2382,mXYxvfP1,zVXldriZ,1754.88,498
3866,YHT5K8Ya,yGUxd2UY,1614.57,677
8951,nAZz1oZs,L5H9NJa0,1217.30,32
5004,reMxOVw0,nPWP2J0r,589.31,393
8754,qIlcn0TC,eNQ54xUq,1242.71,137
997,6m5GiRfK,3obVewrq,1618.91,527
2858,R29IhWzM,pxn06Drj,949.22,190
5212,y97BUt1B,TDzLKp1p,636.46,311
2219,2bbdPudL,1Fkt23Yu,1699.18,949
5198,VYQ3ntD5,hzFCjuqO,383.47,544
5259,lABIVyUH,hTDeWuBp,796.01,55
2635,xSIG98Fz,vyz6eojT,905.44,945
7710,ZgToQwyl,tHAmAYWi,1867.13,522
1860,JEdwxepW,MZivJO8p,421.82,621
905,dpfwdx3P,fBJ1tKfc,1609.17,951
483,DCVBAa0Z,7SYb65sn,1829.34,550
1576,6JBK4zuB,DsPBFjjR,1011.38,686
5682,3LvopbBG,6FCET8tw,660.40,776
60,Ee2fPwuR,70oq8HJ5,1966.53,355
5302,wDSubIJV,ZfUVZC8c,1206.98,757
4643,QIeK8OLz,tMdytBFo,671.78,357
7531,Z4cCTbJX,GFsYCZK9,1908.23,80
3657,391ItjZf,PwqL3xHQ,508.43,927
225,npPCyWWE,QbjpcgHL,1898.25,294
8503,d0MbEVOb,sj7ZkCDo,1342.01,183
6416,PqdjHk4A,FtCHILHV,32.67,911
526,ivHRVev6,5vhzimDy,1321.50,590
9846,K888VSAy,BnedJjmz,281.45,93
7303,IKNKfZls,IjOqjQTp,1727.80,293
5117,GDPLlKKJ,7TuGe1Za,818.36,937
4483,3PZOtKI1,k4NIgQ5i,223.22,621
2113,IFxbXxNg,1X9A6mzD,701.02,71
154,7YqayQH2,JCrtQAWN,91.60,93
4008,TWB2eLCY,UGTw6rKg,1457.30,405
2056,YZkIjt9p,lXnImiod,605.15,705
6319,wxFJiSne,5nczPR0Z,1264.38,321
7348,rS2di9Vz,RiGhgcv0,1487.19,135
9371,WWr0gtM4,gClctv9T,891.94,299
4667,IvApe8TO,HmbtIDKB,1714.31,172
5580,tYXRq9tV,qm062rTJ,200.25,628
9858,RmyzlJo5,NZptzaiV,1068.92,813
8562,eVuAD44J,aJwI4tbB,1191.35,283
7041,p3xH1GVk,V0sb33cj,1162.06,393
4731,et1Isje7,fQdV7wdI,1576.05,203
