ID,Nombre,Categoria,Precio,Stock
1,LPFpw6rO,nu1UxwMQ,1986.66,41
2,UkggZjL4,MGTL54Mf,1382.83,32
3,nPlcMdZG,pCv6zrbr,1730.59,30
4,P17lg58p,kZguFVhq,1272.12,22
5,JDU38AFS,DYAzKKDW,722.49,8
6,klxAL84y,RWfMPpp4,1755.48,44
7,MdPW7obK,rbyhIPOs,344.60,32
8,dWt7RqmY,msarB7XD,1784.99,45
9,r5Rp5X8f,VX2dh50w,993.74,37
10,8tdJpW61,QT6f9mXq,1818.60,30
11,zLMuzl4S,DJLJWaz8,887.53,12
12,7mOMS0l9,IQpILALh,1327.51,12
13,v2poNlIM,XDA26ynK,416.43,39
14,UlT97Nzx,IjpHLAvM,1895.28,42
15,YBfLkYch,J7VdVLbb,1611.00,24
16,AqrSgQRQ,bEjmEuHZ,156.95,47
17,H42UdAgx,vGSq2308,10.76,50
18,myvhBkSa,ceDmczyk,800.71,8
19,jyjJMBoK,uKDFVfgu,1687.53,37
20,pTcKkrYr,hEUmyaBi,1399.94,24
21,kQBDRg11,gRMWKCVl,1879.76,24
22,UmYTKptt,eYN7LBh5,933.42,26
23,bR0lQcv6,Ji8cDdMl,1996.77,4
24,vNEV2cCc,hfLT5M1Z,963.60,19
25,sCg7gVy0,cDvmEELi,646.73,40
26,5LJFy1wP,bYdmY8gh,855.89,30
27,Gm0WElQx,heAk5KJc,713.16,40
28,wUJouJHb,nSwifl57,691.74,9
29,JlYp6Nd1,nphrttNK,1022.39,6
30,Wn6KcqZi,HpvdnPBK,1784.13,13
31,QN2UyJHk,t9tnJ0Fx,113.07,31
32,bOMKWRlf,JzTmbPjC,231.06,44
33,29LwKone,2Etlx4u3,1474.88,37
34,PhorLBNb,jdWLsVVZ,1856.22,8
35,OEtALzik,UECc3IPC,1098.62,31
36,DtuZAV51,5goWvLYl,1569.44,43
37,TGndsP88,PFLB854f,411.58,24
38,ukn4kzVw,WOqEiAb2,1199.75,8
39,3FxE4To5,CeU5kh7f,1218.28,14
40,CXVBsO0B,Ej0xuMZA,1395.86,44
41,SddAqZ6Z,QkBMd3rz,942.57,26
42,9kTjXoWQ,FW1nWSgY,1393.29,29
43,rHSlY4hZ,uyUUWRyY,432.16,38
44,R0a8CQ7U,1mLjwkjC,779.36,43
45,raSWzPvx,IiOlZ4Yf,669.07,37
46,xCUKoqYW,QPImgmAQ,84.95,49
47,vo7Iichy,ZUjvkVHZ,501.58,14
48,Q5uSJrm0,7S8t1gu9,897.01,47
49,G3K3I3q3,C6jc057G,1338.81,18
50,5BBkpZ6b,JDspor3D,1135.88,49
51,D1hjSEVi,Bawjv36q,9.39,35
52,9F1Ivb61,J3YAZI8Z,1412.82,2
53,UHuaAZR6,Eh15cwBj,1205.20,34
54,aSeDrYcs,ysOcZGdY,823.33,11
55,P9QfDlEA,gN8SE28N,772.94,13
56,p3IaSDPn,vUMIcKif,285.50,0
57,K7BKUTEu,pXaFKZp8,467.96,26
58,lgwR4O7K,H1Ye713e,1365.27,3
59,ONpRzrSc,CzuGrqRb,1757.85,41
60,kY03bDej,BdhdnF6Q,348.69,32
61,AdsVwwDW,dWWlu9h1,705.13,0
62,TzlNEiVQ,05WyuNQw,1203.08,19
63,w9fjoxBN,CA2roJGp,740.69,46
64,KzEj2iJ0,loHMtDdK,1177.19,40
65,B1LwlNG4,YxtIwQ7m,850.33,43
66,ArGCPZSB,LTY3eope,513.93,38
67,WykBjjOr,mfMRnS6O,1015.41,29
68,YSRQyYHx,4BamF3ub,1271.71,10
69,PQh0bnta,qejaugD4,536.33,25
70,UxakMtjh,yZxSEbxo,641.10,35
71,fIiCpusE,675jN0xI,311.24,50
72,A9SwVXjk,zOu2FcTu,1018.80,26
73,mFaBsHbD,62KpXLhL,599.41,38
74,42lFjImC,lSbntMRq,1670.35,38
75,QIC60u80,HLNV9Bby,525.71,24
76,rOkCmHkM,NJrQlAAg,781.18,6
77,MBN5Gn6B,1JLOUsX3,446.72,49
78,dfGAnsC2,Aygs9wYG,431.56,39
79,yCwoxucc,7lZ4k0sv,81.35,40
80,8CdiJDuU,7XChWADN,1260.92,32
81,C6PJhJKA,HOZc4wV2,1915.84,16
82,mOAP6AFs,i0khm6oh,1782.42,34
83,C1WxlyOi,gDbG2H0z,1695.62,34
84,yrE5szPv,f0W1yZC6,1148.86,31
85,tc4QjCQL,lbYdLrUt,1146.18,15
86,QOZKMe2O,f4PH13mV,1535.24,47
87,WOA5AMbw,4BbwJPkm,710.57,49
88,3grlV5UC,F6b4Ud03,230.64,39
89,VMS5OgGc,2MVD3puZ,935.13,26
90,ufm68cIU,j7eYyFtt,1661.25,15
91,oGNoSpaJ,GJdNWDzc,1914.06,19
92,LGteBDgW,8QUQtKHj,685.69,48
93,QyPcSW5A,UckLHVip,423.69,45
94,zf4x8AFm,QDDFGvyM,1542.20,10
95,HTPX8nhJ,2PaOTNqP,720.03,40
96,tQlsRHDf,e8fLImta,1427.76,15
97,3S8Lm1Ja,DTmKmKz3,574.98,36
98,UDLSDR3I,L18Rmuce,1564.12,24
99,kIggvBnd,90qQDVff,264.31,17
100,ROJgVMCM,T8pajY0m,499.55,1
101,d8VDxedH,pcuSlkLw,499.95,44
102,hpYi4Rre,bHCB1cdy,861.93,47
103,ZN8IOlld,SJFTekxw,585.84,19
104,xv7G57SW,haMGwCqb,514.52,28
105,3naqF1wk,datEA2yZ,987.59,10
106,eKIYbz0y,7yYyQ1lg,975.83,43
107,Ay6MXgnK,9q0bOnNt,615.21,12
108,PlQIggfa,BZzxadO1,1259.44,21
109,H5EMu0wP,4632yrSw,772.80,0
110,A3lZqcLr,eoisgHPd,1534.98,40
111,OG1kmdsz,xD4AoItp,1601.77,47
112,E77idc8j,fhc5Aqu2,125.70,45
113,VDvE1gT0,mnvZTDJx,172.92,28
114,Z2PFSbuf,rrfLxsok,444.35,50
115,hkFHDv6F,vhiZnQEI,399.81,22
116,s1nKUktn,veCtLwmv,1838.75,26
117,nerc88SV,aXKtYTeD,972.71,48
118,zibH7Jmc,99Nwq1Ub,104.31,6
119,rpjuZdxH,W1z9F1I0,1787.26,6
120,UbPm98Ok,WIjf4JQS,1073.55,9
121,b3CZ0Vvp,gZB4qd6n,788.62,0
122,3KuyRVQ9,dJXH8qiV,1673.51,45
123,AxrXOffi,hXUmPaaj,1704.91,16
124,4sJ3rVdI,g7EbHSrl,436.76,19
125,OffE0Otr,rreWKa9l,1731.60,20
126,Wcdoxtlv,hXsfDRyi,1964.55,31
127,eSJsvmPp,mHIzhgYE,931.50,12
128,UYgBt7H5,daditKKY,1507.13,48
129,dlARzr7M,zouACulj,1774.08,43
130,Jay4IZqk,FUCGj1oJ,1532.68,33
131,pzTbbgEv,8u9dQVft,889.40,23
132,2lxji2e9,w8QdHa16,1067.68,3
133,dcPTIKdP,Cm4EUelZ,72.10,5
134,kRKqo0PT,ynfVeHea,1414.69,11
135,pisGCx14,1b4HvZyh,1781.84,17
136,Wmd2f706,WE8bezVe,631.22,1
137,YFPgPqvx,ZQituHIg,534.62,21
138,55cjtr1Y,vlzNsRmh,1968.32,5
139,NhcPUSJo,tgoe3b9N,1234.68,10
140,4mhXhXU5,f7o8u8cK,714.25,27
141,ahZpMLaH,M914G8Yz,373.83,6
142,E2pyjeKw,jNBQenxL,299.65,47
143,BnBU5I8x,HapA1mMU,766.06,6
144,udJQybJO,hySSwva6,403.77,32
145,8j1KsSQu,sR0yPMmx,1752.27,15
146,I5gqZpcY,ZnD2OyDV,711.05,36
147,ScsLir6R,MrTBTdWz,1304.88,24
148,KDh7eoLb,SmHCVf9D,500.80,7
149,LDl1TzmZ,wx0CAazX,944.73,48
150,uGFHvggB,D0NPmRiz,1230.36,40
151,6OKe3HvC,610NTKCl,400.74,37
152,KQ9n5IEG,xHnImkKZ,1294.05,6
153,Ln8cdi2N,WAZWaMrb,163.32,11
154,m5TYbzZX,C5ooKMbG,1168.91,18
155,Bi05pl5x,BQTUaU5L,1664.45,35
156,04avCczM,bhSEFcbb,361.29,1
157,GvmjRcu4,a0vyCbNC,558.98,1
158,YDSx2pJ4,W1ogBGkC,1337.63,34
