ID,Nombre,Categoría,Precio,Stock
46692,6NlKVpws,tciaW8Jk,3.02,269
65702,kv3jYZhZ,gGqo0zle,3.02,37
25001,DVNiEEVD,UyYTLjLf,3.03,810
46727,czlvEx7I,fwdvvYoJ,3.04,103
41599,8lpjBwas,j8Mx97xx,3.08,834
70038,u4Owjkjn,i6Q5FA0s,3.09,110
33215,Zpg4ZyZr,IIcoYOKl,3.10,463
85791,z5774hdP,6H2kl8vY,3.13,742
5208,7oVFJiM5,yJWareCZ,3.14,428
99750,3QVKfLtn,QPsy06Rd,3.18,364
17574,Gtc0N6fu,c0SpegRK,3.19,127
11984,0Ce12xgP,akMe4AhQ,3.22,930
84064,YM83JzBC,wkOQrSxy,3.24,911
28645,bylp912s,XHGemEmr,3.30,699
98371,79QBjkCc,o9WZQ9EW,3.31,736
41650,XbZ2Iovq,1bawTD9D,3.33,157
73318,t5neYeXQ,jOoFOUEC,3.37,896
83075,KBL5pZcK,HJxMDJCL,3.40,997
17059,ZRZbJxzF,MoPhLrpe,3.41,933
82731,tsavDCkH,AUcDlC9t,3.44,339
56758,hfhixlc8,sqfaCd3d,3.49,861
73551,kvKo1onp,6F9dz7iQ,3.54,912
15301,c5iYF40D,qhXaPdAa,3.56,264
90340,xhLt5rrP,l0ZeaVfA,3.58,814
90066,A6y71xMk,HBfJD4va,3.63,415
64588,2kWaz7KC,Z38pnBLH,3.65,66
47404,vtnVHxFW,7gv83W4V,3.66,47
41129,F23ks8RF,oWv9swsj,3.68,339
67958,UFc6eY2J,rPETicNW,3.68,436
5932,6h561ODo,JETjOa04,3.72,280
56726,4z7QkwQF,bjHxGGas,3.74,581
42037,2lxPCiCp,LIOGFf8R,3.79,511
54447,yIeVuEQP,jXOtyzBa,3.87,160
94694,4j4WyNTC,Q3pjCsPU,3.88,230
94682,iBgrRqJT,7Ahp82w6,3.89,647
33696,LcLZQzs6,D9CfYZhq,3.94,105
52970,fhbsS1T8,Dwxh9IDs,4.06,54
27168,OrH7xAo8,qooHiYP5,4.07,304
34473,GgHAYeaN,hR2gFJlC,4.15,44
93158,0mS7D0FL,c6NVp00D,4.18,421
22320,hx5Fd2z8,mj4Yyklg,4.19,420
48778,NfP8b0Sm,KZGLdL2S,4.21,610
51331,KxMV28Zt,Tk42v56A,4.21,149
79959,rcy7HZ33,pBiLaAdY,4.24,360
98161,yxlbIuxJ,JyO5pAIm,4.24,997
25639,KLf1xDJr,zr9YGYrE,4.30,997
87541,e5lB9G7y,bty3khr6,4.33,243
78072,z5fICmpt,hunwnBlH,4.36,835
5963,Uopm9zlE,OxxZovrW,4.37,222
66260,snaMDR83,sMvd5EE9,4.39,238
60723,7TaZPJYV,JeXMbb5j,4.40,301
78251,nc88DqV5,UNeFpANi,4.40,227
12040,iOOrFViS,20dpySqE,4.42,923
42842,UzDkctJd,C53zuOfv,4.43,18
62488,OJanYBSA,kgiPZ164,4.43,550
24196,qVPtk1eR,m4eKsYNT,4.44,278
99523,mKByr8Jo,jW86fMox,4.44,496
55225,V5frrj2k,Uxpwzx3w,4.47,151
45129,LJpAieS4,FasDby5v,4.49,296
10656,QyBtgwFz,WR1AAGzW,4.54,271
35696,PHXWna4K,ffKPODkx,4.65,374
1396,K3iAEHob,Cv3gpSAt,4.66,910
10233,HgGp74fU,sLmdQgE1,4.68,177
26068,513PdA4G,1EjtGG18,4.70,585
30753,swz42hAG,bIUhzt1g,4.70,972
43083,xtQ0Qk4b,uKbbVkIO,4.74,851
42833,BAZNb4sK,AXnhjdp0,4.75,407
47232,Wxhfv5mw,7plkHNCn,4.80,174
49381,UhGevZAr,UZQMnhtE,4.82,436
55451,dQ8wtTVe,Kt8M11mh,4.86,503
73157,ZdEMdkKb,Ie5bTkKd,4.86,658
1462,nfM7RZCv,BrYbUoaH,4.88,288
32616,BLCwkjGe,Y6XCGruE,4.89,94
39028,8zvV5dZP,PKZzfhGA,4.90,887
15964,2OWZ9u63,pHX4AqwS,4.93,40
53292,TTbLoCeJ,GvQ6WYUk,4.94,994
11448,z4THSSBv,igqYPIdG,4.95,790
60921,a0LZgbAi,n5h3dEIk,4.96,151
68960,pHLbF6tw,U9CwuAhJ,4.96,268
68065,Abz43oiN,6wqSmtfP,4.98,295
58875,hbhsDzf3,AlQObNX6,5.00,63
82584,5VkQSkjG,AvEe1mus,5.00,308
28229,GzFbKOQm,jzoxFalJ,5.01,666
35993,MQkdwkVT,ECmyFTFI,5.02,860
2715,zBOwmGMr,CdMGpky1,5.03,70
73948,IzyveQIK,VvyVTRZT,5.03,784
83644,zl2GfQgc,rKsQkhJC,5.05,18
34624,5Sxn5t9I,sPbJt8qU,5.09,300
45557,JWuvFBBd,Tvn1Of5m,5.09,358
67001,j9IVzOei,dByD6vpG,5.09,45
12773,KQjjxyiT,RbWvRNBM,5.10,329
15421,bbu1eQCv,lCZRbm2M,5.13,343
26803,EzSq2y7M,3nHi76do,5.14,39
68388,AHepxr3K,t1ev0YRy,5.16,867
12463,6B3AA9bW,KGSNjuQU,5.17,550
16928,mOsJC2uU,0GkYVPg0,5.21,194
82549,xOluDWvF,87LRPxy6,5.24,296
12004,1DMpTGUM,MytzHOC7,5.26,0
35957,n45Rdqy4,tYsV9i4D,5.31,943
75356,hLeXcdl0,v9CT6Wc9,5.33,693
46743,4Ie61dKH,wRaXSdiu,5.34,127
49411,TF9XyWsV,SIAgoUGg,5.34,523
84227,pTZzUreg,gbCTV2Bg,5.34,211
50688,9r0DHkNm,XHylp1VJ,5.41,712
77290,E4NYH4U4,VKZGNZky,5.41,447
46425,xWYUsJMT,UEOjOLNf,5.44,127
62489,VqhBLHOK,DBGLxgys,5.46,169
10744,oPvujezw,JTcEzSMq,5.50,572
96600,qRQTM5Aj,cOQTDrga,5.50,260
84769,57mFPJ9d,yVEcZQUK,5.54,790
98178,BnM6dzoC,bQfbdCji,5.54,123
21267,mT3htVVK,pzIWwSa2,5.55,684
46995,qaHuZNuK,cfWtB3Nr,5.55,615
21869,HAyBsb9r,4JsXsdpB,5.66,254
62890,5Khl06Ud,ZJJfyKBT,5.68,236
70146,Zn3otdih,DWPlQRCi,5.70,537
81850,St3HqUUL,Xav3EeTI,5.70,703
24531,8HZ6sTDb,eU4HxpMp,5.75,522
29220,9zcAl5OP,DcAdu2CI,5.75,909
66529,94m48Veb,OvIj706L,5.76,586
52263,nqWEZBMA,fo9y5hh5,5.80,243
25313,uaJbLBZ5,68CkIY3h,5.81,116
12,ULfI0hgV,VtRgswQV,5.82,591
46607,7P6f5jfs,VOr9lo3T,5.82,970
35405,GSdzbXNn,ZcdMYU4s,5.85,460
34547,SRsbz3yy,bMYbtOuq,5.88,754
99328,bXxXfy9a,RHcPcRJH,5.88,156
50119,1lLoIa9B,oJmO6UMm,5.89,680
9458,ZrO7v4ek,yBNPERQh,5.91,944
54284,HzQQDLKc,inHyxL5q,5.91,921
62204,PvO59vEN,hwFFVi3I,5.94,95
45681,Iy6IYryp,Yqu25ANJ,5.97,402
73296,qySi4cs3,gQV4WiJF,5.97,406
25211,ek1cJoZB,XaTBc4zh,5.99,886
88998,5pxg8Yum,40nO4kHd,5.99,943
69344,jdLfI4Pm,PhSRGBrd,6.10,173
67460,UCjzafAR,HZA3BOa7,6.11,237
82,87pFkYbG,SXfLLGnO,6.16,564
85221,jDOKm0wu,GeDFDMaz,6.18,763
51259,m8VVzWXV,5GDC9FTk,6.19,138
17213,aWiur3bt,QcSCzNw2,6.30,199
27442,eI6deyh1,3aCiDMTy,6.30,711
97961,JkuipuyG,Bg7H4hfe,6.30,219
24221,RHJ9xORA,Zlth58Pc,6.33,238
429,ceTkj9gn,WRmrQyjs,6.34,225
33701,zdceHJmp,DDMb4EBL,6.35,555
726,nJUqoUVi,sflyXIq5,6.36,565
98347,Yl3Jx4vY,Mz6Dgjwl,6.36,238
80412,EKwRoL36,Uy0A8XpN,6.42,207
94439,VvDjcOYZ,wK2FEz1J,6.43,98
37709,RO68weyA,LbdmFZNX,6.44,374
38960,Jky0G6U9,9C0lStQ1,6.47,631
65751,nrrvyIT1,GHle1cai,6.49,74
32608,3sKHN6IM,IwN9l4bM,6.52,841
11560,WiH9Qqj5,sZiZYBJT,6.53,753
5714,i58mZ5zw,gYEAEiLA,6.56,385
71472,1fpp0zip,dgf185Nu,6.57,285
98876,M1n8b9HH,ltvwCKfc,6.57,711
81908,ebgNNVsL,qasDPROm,6.58,769
89845,Hi9pwzrW,k1S888sD,6.62,127
76086,nKwVRRmW,NvwwRCMW,6.64,209
48862,gvjRt4YH,09r6wUxI,6.66,87
32778,jlTHm73z,UI1slnPg,6.67,282
54902,NT0RzfwF,yQaPokmL,6.68,972
85762,q5IZufvz,SK1wmrmt,6.69,408
53707,OXYZUcaG,u6rbJrKe,6.75,446
2745,bvqqTtXo,pXd0SkDo,6.77,801
49787,zxbIfaP9,G96qe8zI,6.78,640
42553,Z9oqYBeq,kK8YwuM3,6.81,192
2183,oJKI93BJ,NmjyroWZ,6.82,212
22911,2dRPOYk5,1S7QgpVw,6.84,313
43937,HE1HehD6,10fbyhpU,6.87,175
10512,oZecSIso,8o7oCpoX,6.95,73
86910,PuSyAmqW,rgF1c1cB,6.98,676
93336,kh8BN8lr,QkE1PiR4,7.03,622
61335,rpOQLRGM,joUvp94c,7.05,23
87302,cypclSoR,dD5u4Cqu,7.10,12
71584,HujtrZVf,ICDmAHd3,7.11,677
77392,QxruFHNy,WQOjelSS,7.12,653
86294,1BNdx07B,za9ujSQ6,7.12,522
34299,reFWI0oz,JsZDT2ih,7.14,927
89740,ZOHLg7m5,LYLqpUFd,7.14,576
68751,cXCj8AYg,XFYxGdxx,7.16,153
14353,4Tpmg2Mz,TPwysUB0,7.17,239
90987,wLa7oIoC,v3TqU0vl,7.20,399
23498,Jza0DtmQ,YkjHgB4E,7.22,639
93325,FE6pilnl,RI1UFwIM,7.22,593
484,aE0YKfaW,v7h6SgfU,7.25,647
11307,V8wICCd3,ioOSm1ph,7.26,638
36230,lgBcZSG2,6GfPG8bh,7.26,875
43062,jnKBPXZX,327IhjdQ,7.27,76
54484,POPWY7S6,A14Ts8sZ,7.28,259
27802,EeNTMDrQ,zkho7TFA,7.29,551
13395,lEQzV3Xf,0vnOPz3e,7.30,491
12542,eX5zRsLs,85mg35Xm,7.31,328
22196,6cDJjycv,UbSti2Np,7.33,217
36186,kImAdhnZ,w8aNVNk7,7.35,958
32642,py4uPgRT,dJ5Tjs8z,7.36,890
8291,1by9alYg,9Zb4KegM,7.39,206
87525,6BWo8OQ9,WI7w29ks,7.40,760
52322,bCcChnK2,VRiC8PAy,7.44,390
3508,oHb3lQlb,i3shf598,7.45,539
61085,1OF6JehZ,cDetmCC6,7.45,675
90448,TICB2jAK,vkrOzZMW,7.45,669
54973,ddA3BfY1,esNsXKrV,7.46,949
37551,qTNxhwS3,jWM8fIYh,7.48,973
52436,4sro4LLg,O6N88fQs,7.48,732
54034,emq9uNgv,5ajGq4ea,7.49,845
65443,4CSvXtdN,aQsgwXpy,7.52,313
32911,3wNqOlQl,lpzYQm45,7.53,380
95082,Rqf3yedc,Pvmocl6S,7.57,864
73239,BbwXGtk2,hZo8f0lf,7.58,818
31750,gQRwBEGY,FqLLRKz3,7.62,398
99056,7vdQmfgy,QsN410Fk,7.64,970
50328,jWDlYuvK,k4PaKS5K,7.66,491
44898,J9dgjhd2,1nvID4gb,7.67,66
96283,sUqrnONZ,AzYRMii8,7.69,55
82837,HNlzaA2a,s6jlKVKa,7.73,837
83504,sMIfFrTN,p3Zs80M1,7.75,857
86801,1rFD4mNF,4BVAeM2S,7.75,732
50825,0EzeVTZw,drOu3l7b,7.76,928
32317,DbNTwchV,8z9Iby8d,7.78,114
54074,Bm66lkww,Tm8bZ9NJ,7.80,135
35823,F9dgfofr,UEC7ZhUD,7.81,831
47497,LmngL18G,lWmH7CUg,7.81,486
11879,IvVOCove,0PUTNJoe,7.82,592
16818,vMCVpnZu,UcnZ5m0v,7.83,49
21775,P932xZMx,LgHAORbn,7.86,444
76458,PQW8p6Hg,7i1uRAr9,7.86,970
15144,m2sVCtjj,SPgg91fN,7.90,651
15688,ZbwGbtIm,UlQBTgz3,7.93,330
52195,mKBwhE3g,8DdARelu,7.94,968
29646,YstacLhx,9ktIVlnJ,7.97,763
89193,qoBnf0Sk,HPpSfdwv,7.97,707
20426,p7KrDMdA,6fmQxJYY,8.00,408
22167,nmiCi0m0,U0hWqy84,8.00,342
46298,rYDsgLQj,alqeyY9w,8.01,966
4392,QRNC5wNk,v20v6K7p,8.03,783
65262,whyNH4la,NV7xyZux,8.05,580
90838,pQyi0iv4,Nu5o9dOK,8.05,782
67698,qyBgkAi7,ycR2VKIf,8.06,92
19841,SUQ4KBKZ,cfGtl9w7,8.08,290
60674,exr8no3e,nevwmH1y,8.10,568
31685,qbEoa6Pp,m1vraWsW,8.12,392
5581,Y3ahktmP,Ud7VTEBx,8.14,901
36291,vzBpuTXs,iFEzYXQk,8.14,358
79032,IafgpBLQ,ajlyRbZ0,8.14,955
95012,nUJjRyuE,HfjoQG8T,8.14,992
36801,Nqs6WrS9,5ya3Lhsb,8.16,759
67438,Am7e07eg,cHB3FQ9s,8.17,963
21719,DrLezyId,CBJh2WwC,8.18,625
76256,ShD3kUuT,X0FuAziw,8.19,712
35765,HezChaqw,LtscICm3,8.20,43
31514,7AbQ0lGw,dvNfaFhn,8.25,279
4046,4jBx4p2D,4M7xAmwN,8.28,546
61702,WKP8kGSi,WnBDfixE,8.30,974
39233,Yt4k3TmG,A5pFcUgT,8.33,781
84131,M8h5PiC2,oTfBkGqM,8.33,837
45935,dFc9Acbj,lnLrQIIp,8.35,308
15733,6DmyBfDb,1c7yoSyW,8.37,182
58282,9vzal71T,NuByVoeN,8.39,672
70709,8XSr3geA,rRMq5v67,8.45,53
36300,PEh5xzCn,Nr697smn,8.57,781
6270,S40LgKm4,NcxHcMQI,8.58,386
19780,sKtmXvWA,HzksXR28,8.59,321
127,AMIrMXdh,3K4zwjOk,8.63,309
68017,hg9fsH7h,oJ5rzJEV,8.71,209
8184,1fzv7wAF,YpiWFgaD,8.72,327
67779,wRXbqJPb,uGQPqeiC,8.73,780
87567,RjshfYIc,oxpdrYvT,8.76,189
38384,HmdYG2NY,2iLJWIat,8.79,424
62066,MjKzkETT,L0gJ9H2t,8.80,390
4912,oB6hquBL,VmDXeTU6,8.84,31
17607,zoeNwHh7,BwWyVLjX,8.84,870
42260,MABm6mRE,aKuJjgu3,8.84,158
29974,iy7GiPFE,5V0jGnOp,8.85,818
72105,rr8Uj57p,MKcty9ND,8.88,998
16198,pCkjWC2T,Do79ubv0,8.93,13
78737,e4zNeOdp,5rbuOpKf,8.93,169
83117,hNPJ7Hc9,VN2gt1d7,8.93,557
89551,uAB06ud7,IIr2qnbv,8.94,597
877,bmLGEkLF,nEIzY14G,8.99,12
33982,Ujcm57lP,wGXFLswF,9.01,358
49406,XVSBsp2k,ljv113Cz,9.01,551
50958,cVY8wP6T,Sq50dXeu,9.01,893
28118,TFYT6Bj9,tawg0NSi,9.08,940
49318,9JVfZyiA,h3kyOxVH,9.08,317
59678,PA55Pp7c,Z72crBFo,9.08,635
60555,haTvDaFo,1jfcaVNK,9.08,696
64559,6GEijVwP,tvp8WQ6B,9.09,757
73759,F6ismxnC,N5i1vRiE,9.09,783
96644,BYBjzyCf,qQzN0y5Z,9.10,191
47605,wSdRIEaB,cgqDFja2,9.17,505
54082,0SpRanYh,VsdJdlzh,9.22,935
79199,jPepIssi,fmWgZvT3,9.22,408
87816,twTsrRd1,Q0xlW8eN,9.23,965
98949,XUmp2qN5,MsMjRHPa,9.30,705
70196,L64Q64Vn,cvftfGNb,9.34,576
75093,vk0WdT8y,m1uodLbN,9.34,817
44193,mBpC4Opp,idQFsjFx,9.35,387
38420,DyQxLgs3,fCAuLzBC,9.38,767
84447,dEbcvWlQ,iRblYSgI,9.44,353
60769,GOFdrhQM,bNGrs6S8,9.46,890
73114,Nqnc5kP7,GAozZC88,9.46,29
56894,he1GMohR,iVpkcXD1,9.48,68
67688,ONYlYuvR,Lhnxqw7s,9.50,8
41220,7pV0rYNg,YKBJdZ3Z,9.53,790
9932,IJiUaIRC,qpP2Cuq0,9.55,805
88667,rlRVRYoT,vM1U7xhA,9.57,294
81232,mmPzEtEK,SvTPnVhJ,9.59,280
33656,SXKfhhYA,uNufdVa9,9.63,714
46204,smNia2RA,9W1UwvSW,9.63,572
57983,eSgoXs47,ha8HmeMZ,9.64,561
48867,k5MmeoxW,QlLHn5fU,9.73,116
35570,rm7SQiPQ,zTWhRoL2,9.74,909
86532,jeqdYrov,IeAVTZ46,9.74,242
83469,Rcmg79Q8,Cub60srx,9.76,13
91621,fl2fyV38,ysdYb611,9.76,248
30414,DFe6dGYT,fJTsObsp,9.79,413
78869,gP2n7dyt,n6rb2UuR,9.79,739
21932,yEzFALy7,LCo5GHJH,9.81,88
58900,wZVtZNYp,tkCNqyjb,9.81,685
44970,5UjGd8xe,s7K9fJ8s,9.87,359
75627,u5l9wzdM,fx1U8QoR,9.91,173
6243,P5qRey2s,V08L5CJU,9.97,827
60121,qgs2K4zK,adZJVYdZ,10.02,452
15093,5BJ0WPY5,Rxg140Rk,10.04,65
64078,wYUsygol,vB46vEVJ,10.04,852
58684,jb58OkKh,7AG9OoAN,10.05,833
26701,0MUy5CJb,T7wdzT5x,10.11,828
49677,fHQbiNjJ,OErvtdjK,10.18,960
18396,i01VnZN8,SrR8QKZV,10.28,936
81362,xuHcyCza,fEHEsS6n,10.29,120
6022,R5yd38FE,hD2cOtYM,10.30,397
32611,Zp0kUetO,FKfWowix,10.30,740
75266,6YipZjSZ,X3wB5cRr,10.30,927
89223,jl1u3Vh6,jKWDIGwu,10.31,131
3433,YZ3h7Z3s,XM5WRrWf,10.37,193
9690,WAwycoBD,APVAD2on,10.38,577
13099,TfsrRvES,u8V6ySuk,10.40,917
97349,RDbCX1K8,eHcdJ17c,10.40,79
9979,WL1vASBU,pl0Jq41t,10.41,99
59313,83Wb31F6,vyJU4QSE,10.51,196
48458,bTslG16y,f5rtorQV,10.55,30
12138,utT0OIEz,t5MW1XEj,10.56,868
7022,XhRcD5n9,rOgbAIRp,10.59,62
12692,mkN01z3I,KD72nyZm,10.66,574
34513,qVfkMLP6,PCO1kiAP,10.68,933
59137,IFEgjkZG,PI1H6mbO,10.76,212
66637,f0t67FkZ,VKvHb1oq,10.76,734
38818,9HMYR1GE,OngqXJvI,10.77,385
35290,8FyOpimr,KZHmr93w,10.78,87
44575,02UIJiXs,5J40zIFl,10.79,360
79399,uOILSZbt,OupD1Ysk,10.80,616
30789,FO9k5Kuu,MdAtXCzB,10.84,683
65545,YVx1dK9N,ThIfA9dI,10.85,647
85979,nFM2fds2,TH61YsIW,10.85,192
41483,oVutqQ4c,xTVUlTSf,10.94,220
77584,293aDMhY,jtsg2sPF,10.94,224
85018,n8IiB5Kr,DBYFHhGd,10.95,807
44959,mbnEQdtn,TTO2T0tr,10.96,595
21579,VzasqL5m,72rQhUpL,11.03,65
6463,yvx3aljP,79SLdnNT,11.07,362
40693,QGPlsgXY,24PBwYkZ,11.07,405
33555,ajeTrFcy,yRzoowC0,11.10,420
87601,Wrh3ndJl,sqFzbLh7,11.11,885
