ID,Nombre,Categoria,Precio,Stock
1,styO7IefMHctuzm8zrrvotAlXGpVhSbOBNa8V4cf94Ort1og,Aa0a1NEMYMbVJ0pYFd4dGtu7XpOKDoTBEJc3UeFsqhCzXrMa,1777.87,20
2,iTSMDSvaXYv2rKEqXenqWFMV7YBpPpLv8d5BupaHDJ7sUCZp,LE3PylKJPYTQCmREtt8DLDu2iwr3d1Rm6K1suA17WLNXxebf,1118.23,32
3,gCU1HgKE2LrI031zWvyEYOLbYHKqJhTnjleoHpqA0YGrR5el,MXiXbQN7C51euIGqR6Y94Q6QZJnKlDpxaMJzcWvfPm7AsDq9,1301.15,42
4,oSqCfze16mfDHyrqaLUfy8dpWhUlbwNFC1IhokWjK1mRoT5C,7D81R4GqDr0psgaHsh4K4pnJRkH8my7hz4XGydw0Imd1G18w,1905.37,0
5,dNhPL94geMH58S99HFewn1Vvs5AUP5WqG45R1yvT83N5JM4R,Z25TgiavHitrUrMJljPXABLJlo8qg4c3wXMQ4mC9Ivoca0lB,957.17,37
6,PYB2NWl4RlOeelIkdCzU0llycytl8l0NA1DLLoFbPU5t5CRY,ayXYzihZLdDpXfiI1uYtUaqbMU3mIfmgT75Hfaeq4hVRA1Zz,827.53,49
7,EHq2qPqIEYrC9gO7XRJh4M8Jg11Z3Gv5Lbx1rc7t0ptxJ7tg,lwi4MOVWgO7prhL9eGE7fgoZB7oBzE1Y0ZQAmlXGySvdz5aT,1854.54,3
8,P0DJCBQj1F6uKsqVHdNw5KftxPf4KObXEceGctnTykB8QrSX,BcQg8239yi9lk07YNOYxxt4lBnDyibHi4WE0M6y8exjElhcy,289.14,10
9,JfKCnnuZ0PTBdsWhL1llkP4Wx5TDllauEiurKeEArW9KEUpN,vykiieIhFJWokbMevOT8KH4m2eqd9GPs3xObPU6VdS9EsJgd,1675.48,10
10,LRytesFRmYSN7q5BPnrXGtXxFV6KplVy0KhU0kja71n4gg4v,XxZg4UIuwxLv3ZbwMpLcAIxdYufE3AiOx5uqP3a9qmshBJUL,653.47,41
11,KlIQUdDYw9gZj1LX9qq0RPQOF2GlY8Uijaw21yQovuBUlNsl,zdlxjWO6GsA7sgMfc4LpxkpbKX9JhRUUs6FSSRMX9MSrteLL,1944.53,1
12,3YZIlnWofbP2ZhY77Jxz7BbsvcDWnt5hFSpq6AVZbiPyGotB,XUyI4dkCzjLUygmgarwq88D6LWn2ywBLHzU9R2CGZNaNrCrF,882.53,23
13,xg0uhRaSsdnVKg2Pzg4vgNI5vYrzCb1x7pfd55tnXU8h1zvq,rewpczllJNd87cHCSZChRCnqNB13Dj8uDuXdi7FrIgnF9vGP,1321.33,34
14,VpZz2hsl5ZZ5yOqw3LNwH6ZcRY9GLuugXJTNoBxkYMdNYK7P,IGwaIXETY6MbdJJg3e9bZEJhjwlifrxoxhC34EKS8Xrbg07X,263.13,6
15,VKCaEb2Tx0Z8iJc4QvH5w2fLC6YaGVqadsyhHp13dQ1BYU5o,S5zs76PgqyCKfxwQUwHM0SexnLOH9KeQDR8ALLf2AhAdVwsn,863.78,0
16,FBj03CB69XUDqAbJqOqw3fpWugVIyRu2QUsJUrDREYVsYu1D,iz0WFUJseWzbeSrfhnftz8jxgjO1V4e1sULxnTeFpTgHjMmH,286.63,9
17,8fzz9cLt8fzvujnA3VJMCLdEjwu5hl8dEvTDNcuK7j5rJgrA,zFymEXXi6mXPezEMIP8vicyLtUQTe2YU6M48jSed21qUqshy,1521.78,25
18,1zM18o3hanc5MZZOIsQUIAcGkXvr1bpsO2hMeat4DJ0NgPbn,7fhe7Vpqo67IwVaqfVoClIfb7Jvm1Qaxv6RqP4V30SAlmaRH,1064.10,39
19,5r7DqZHQu35lSkRgays4MZzNgnaB01othjwN62botWNB6ehX,t4KSAnr8vdkkr8Xb2mHIha9Vr96TYOYFIgWIKDE3emdMlznb,1398.53,47
20,QNPckEpEpFFf4rObQ9mK1DyiZBjUdEptP4Jz7y3m17GumSJ3,Zsh6HhQyeMH0Yd4gAQnITpBySc81RjQrPylWT1KxCPmarg5r,878.00,28
21,RwBGz0mNzLfTPIAeAKR76JiyEmiq4rhKbjOPX1aMC5fQBgsB,wgzDLyzbQvQiUhNiTw4moDXoQ9E7f9oPfbRpPGEe2TAK0NsH,900.21,19
22,o87kHfYLF4z9kXHB6WQTNofNj9bidIkFGhpLACUF6JCegIga,7ntlqGP6GS2jRgxv6EYJIanAtnLhy1oweXVIcjDg15DGZ0zV,1324.06,9
23,eurpZL06KQdlYDqciTlgV5lSCluhtQ7L9nyWypQ65thRuLrS,2LfBmG9TuI1iAdSc1ojRLmxAf0G2p4OhFrgpxg9fmyCmRUFI,163.44,7
24,eSyyLXGN70soFo0CRmWFPmBIUgZEpGXHWJ5hh9vcybG3F43W,6mXHOKFrBMjqEvLHasxOMuryitZzEc68ETESeJ7dTgJXQSfq,170.66,39
25,hPbwza5J4SMjXhrtqmRLmAnabuRhoI1JVT6KrzSmHcLc90Mp,AQ2MAk9iTYVV0RS4jWKDdFexlnKz5ng43WE16DXOZthP8zHh,497.34,36
26,ddzDbcb2KsXxyP6Jg0TNnjxtB9LAzXoQybRN1sGCabxMotVK,JPinUCa4nithKNbBkd3ehQs47QI6DNbNdA0vCQpowXL6ik8I,1678.99,24
27,ipWLMJ2OGEM4ZyIONabFIfHh54tjlFsHsCR4LJGQNRKnDSzR,D1niFTdBjl5nyWyPWoBX2qBoBMlkwhszWTWZnzaKaVvMsjcC,1423.67,26
28,sOWzsbWnTFM2K2A04RtEazUmEcNGsCXZOrO6IkjZnuRwmPmf,NdXDHYsJiRtSyZGKrcjSR8cpTM19vTA7uXA2wqBU7sltFr1u,1182.23,7
29,gVh5JzfLRsR7smU6Ti1ZGaysIEetREOyYvrhkKqz28uikFc2,JbCYXdDqn2oYMoT6BSwv8vE4bpnhWfPd4Q1Rt25Uujs6LA1N,1329.97,38
30,lTRquEY0G2jX6vJUeyzE8g1yckWApx2OGK4yMSpSIOnD8xVc,Sl8OXCGypuTBNjcFxTWeLPy4xey8epJuPG7mGDawvux8RODE,829.44,39
