ID,Nombre,Categoria,Precio,Stock
1,dxY6U2ZhTg0iqvY0l975SOoLpO01GhBjTYdnO2KiZ9GDse4R,QSpHYkQRzoXcRI0AjAX0IA8Ex1vZeKeubJ0zrEEhsb79kw8J,988.39,5
2,bzNtD12sFtkKQjrh7LKKBTsYQwc8PUOqJbYNQQ3U7bcMBJt6,uV82V64JvqiP0CARJ0E02IVkiTiGFgPx1LpMGkT1OzHCzFU8,1583.39,20
3,U2GULwsbjKXycjcmA0xPFqhCI9MHI6DbyIv74dWdmrRERuoP,3WzvdKTBb1HeXUROg5ZmdsbrigtXlBWcYJL1Rf0tW7LuPd6v,1430.75,1
4,ibelGBoM8yTHuUggcRdVszySfEVww9BUZg6ffireW8jFSFjt,YVV1EvgkRP71RRTnYfeqASXUPgEc9BOVWhKYSq8k44ZLJsyg,399.78,31
5,UDEC00VV2qHonH7Cl1hGXMirKHubMUKgVMhLA0f3ekfHrcKS,LQKLihgvBiNBhZU45dQNJNvDFKMO18uCM4MsZqbbOpawCso7,1759.90,41
6,RpXm25UABCZNWhsrtN1uDUlh4Gokhw0ycNZSJrQItqVGNBv5,L2JTF2UKBfX2dH2oAEWXsyw7bKrd3TZCLgVPYoZXJuNm0GQ0,30.18,4
7,MmnP6OuzUZZ1JPojbD1iuGqduBh5BT0N3dbyrLnCiC1sPfRq,IlL1Z8yyIdP9uoC3IVIf9g2GQGtGM74UgGL3C7rIY5GIjICq,1192.18,15
8,gHOOL4q54N03epEYIfMypxyLxp1CJJrnO52XyiQsvGjOvnk2,bILZoDf3JM9TI2mo6xi6tNEFIKOqQOWqUhF9ik2qxz93pjhl,1554.93,2
9,Hwquhe5UHxUQ4B2G5udtStZBx8PhjzZojDYEfUYmFt17utDp,VDhERkHXsVD9hXp22szbSpFDcC6Imcr7fP9uxGIfaLc5hFxZ,326.00,9
10,beWrNvq8r4fPr23R3QTYis9nZykJflx6FHlS1ROiLsv3knIc,xkyEN3Fq6Ayicfd7scqfiy967b2ehn4SOsWbmaFga3C2XfxD,421.02,10
11,3b0bJxCijmqENb8QijgZ1u6Ccr5BUDdLfRmoFoLoO1rZSppy,7djdRgYN7Qrc3ltFSFf4dkY3eavz5h208ZRO5pb15IRxuA2A,742.13,31
12,PLOG6IIWzCXIF0RkI4NLgWxvLeIbIyPX9db3jhQZjnfpcwNk,GX2h6QbaqKNjrFZqdq4YUVNNbfAJf1JjMBHIRig5steYx3CQ,698.96,23
13,oYtJue257AWFymawD1nnW1A6fdj5Nwd0JM93o1xl1JqotEYv,i4m0P0DoTCyy17WD9dKO9qKpYoDJgFZC792Kx5zG5n3wkP0h,663.18,23
14,39WQ1UMUvvP6fswo2vggkTGaauEIza3sZN8QfIiQ1xKVd79T,s8wro4WAiYJCbgEZg6jT0YYt9RgigUFMSz34tN5QjCSBjVYD,174.71,8
15,qd0Pw6pLqtTdHKMgVIv0RTEGFObgJZ0y2oDnisyMZHqgP0Ak,P5WDSsxR9Tzfl3r3qivauooTr4SOPoRdklg2UTHRk7vJyaCe,556.61,46
16,8tYNBcUGotkyIakBEnokVaxsfdOuTOSP6qb7IvDuclglCGkE,9w2rae8FZRRm3iFdIkVa1drcYclK3mm0Wfhw9f0WuH9ooCFu,367.89,35
17,tMpCmauH361KLJZHxyE3jFnAqKlqQLt8XWA7wtEnp3xyAK3x,mZKe014MSdWLD8BZbgKZ98vsFuUrvZbXyjzobt0rLK2OH1oi,463.88,22
18,95qg8TgpbFTqOCojWmgIVkv9dgxbprOom2IlKnOlsfR7g3g2,Vw7UutCxbUdMu2igcXJ1F7iQGacNPEtk0r2kY3WxNz85rgcJ,906.61,4
19,gBBzluyDPke4Rrg1joctRoT8Kk3qcXg6Yfv8QiBfIdZXI5Oq,3jA6giMm6pxJthtkMkIidcVqRTk7xCGrjFnDlyqgbdpK8XsK,27.27,1
20,hpXxTqvbPmHr9mnWHWUX2T0AwNX3GkjoP6binKA2uFhtrIDz,7zsaREEhVoeJoiyNnZRPL5tmWYvVvddqQMGgOJDhvhoaDclr,79.07,43
21,eXKXq9VbMrSTR15gxUCYeAOMGt3v17iWStr7qCY2toJAfEeQ,004BtnoG9XZt02ZFCelOlmwWHawK1W1rKtq4US8UpXDeNajO,1035.44,41
22,Yhn0h1Clj6Va33wLkbIQeeHLIQKlVo2tJdipSkO1ejSXbCh9,4IcduM01nk9c6zJHix93G7LvSMPdmwrf4I8mSyb3XbVTQcYy,1617.32,20
23,enO6GVHMlRy44ooDHKqXu5PPchk1jF1BrF7xaF79Ut4OVgQa,QXpWS0HkAVEnHtGCzEmI1EBMfXftz2hDNLZg9fEA0Gn70r7n,1694.91,19
24,q6yYzDnQiMHHP6H6BErZHpZcWRqsx6Ib16zo7b2fl8l04sx4,tkvimvuHIQ05GV9TeWxe12er8FnwwkafIJEs4yxACl4I71ab,779.17,15
25,weT4HqUe5AMq5SHuN7WKWPq7NRxF9k9tDRlI55m14whxDnfQ,NN3DDXuCcVwO6MsCWwvOiiPlKJrF8HeLTYMWv7WMSJYMTGNn,802.05,22
26,i1a4EG1PVmVSLSCMjlUdf5UXrzKscn8AeZ4hdtwzUFHfWHr3,262ZeFAmMppKvKTEggYRbtbt004J6FvxBnMdqKE2ztCi1TmX,1099.90,33
27,r9WM4ohkepS6SR5uoxRHfC4zFCSZH7Ty6p81SfbwIrqa8lLm,z9nQqE8g40nz5Ym69wXp4bhrLhQC12YozB5fF3B8tnxmBZg9,61.56,20
28,Zas2amrem93u6Ki2yfrGAG2JyghuGqVdFDVdnC7Q9zA59gvx,J3oDTKuepAeg12Lo1EK77J5owqOwDuvMlXN4h7YN61rvr0Zh,672.65,17
29,Bb3AhtHTQmEUTZxWaIzDIxRHmRAjwvXvKQts809ObDgsaTEy,4hezrXbbDpLGX4Q9Sd3zYQASHqDwgbTb8vQnGqDHVONtJbsb,568.25,42
30,b30joHoOXoyJXL2iZmOXaNj1PFjnYlaxfQUJX8WsmKzATsgs,2lOR1Nh63jrZA8y8uDkytn6C1HvAjbZbBmq0zOvqvcDvY2rI,1081.88,33
31,UuGu5pkKtHwHtM3OcNVxMrewzTwIBS1VA5E6ioERv0XeCQqc,5R5m41ow8YuhzI70snphzaLk0OTOEBV9SQjLHO5FmnlZviOd,126.56,30
32,dAOnpsafBKnBbcWbXYX6AaLuQiORy3tQ353glRBncno1D8Sb,J387THfHWzVa0qYG47PBJKFvyoLhKZBTQ7OjFuqZj9xXoLbi,663.87,37
33,VoVVEeFSDSjzJRDAM5gyMiZmJBdM7ulSW6mYZpqc7QPEfTEp,HriQ1nAnPLLZiKqyF5VKn9hK8Vfme6Jjlr0bS0Eh9N6hXkTd,1395.08,21
34,OlbaH0BQzccxKCDg8p4VVjxQxDTSWX7i6X6DN7RDYsyiu1Fq,dolGlJOjctK4oTePASqSItxF6rkSR3vtfWzGdEp3vxwZEQpC,479.10,24
35,f7CyexCRyVhIrdql0npBi4C6k0fUqi9Lf978w9PlTxtAOYlE,iTSoCFt7wRPCK8vpSkvumYnWKZvOnaRJsjxspepZv2b30MgJ,870.89,25
36,BOFjHIer69Amh7vA6s8qqOP9977LVgPUtS1yaVdVUd7zYt0S,vR1Voery2dCd1Rnj1YQe333mwVekhArQQim4BTq1uqUm87Jx,1203.52,13
37,Zw9F8OC7L9IeeVyLoq9C9cXU4THSC7lZskfqwhm6fua7ENIq,UXRLRIxBdPl9QTPgzzYyJEp1sAbo5jbP6qYNzMOSZyPpFdJ4,658.44,36
38,1Hs0jEIbXQuXLTw33PknxMjQ48N6LVmAaT07X9ZsNJFWazQT,ShtZjWRQUq4QPWdMC2XzCmIbaVFfyOXHuEeRbthvac9pyb1y,130.96,45
39,Fy408cG2aRzjkZjAsX7FUUxhb021qIIv4Dl2dpu16hag77ep,TPoTzusNDxq2AB7sGZ9fJhQj9OOvpEh6RJPE15P5r5vp6qXA,1990.10,29
40,SZtnueILTAD9GLsAMR0p6lg0G4UBzypINYt70zHJyKG4Ty3g,FWfM3uv088jlAHhPOuTEni9Ubs9VYWUbrzoihXZdV6ETBjiQ,371.27,32
41,DtL7SqxXkFYY3DgFZNAQCHZ0PetjSkDUTMRk2F7bKVzCZTHw,TzU7VRPu9PGVjauQNYzvuMMDIRXKy3YIrqDC7Sv4f1NDP7Tc,104.33,35
42,gFCiNaXc4E9KoCe5PwfHzag7wV9JoE5IK6pVWCvOEvYsx3nA,UGLESWHZlchZW5fBjiDgzwYSnlV0inT0tc4AwAZXa4xwzSvY,333.33,1
43,pHGcfmZR6ZYkbSrlMW4iWqwabIIMBtNoyTGU3gjz36YSMF2Y,zx2mjQ4N1QDX3UOkvGkhE75f1qPo8BCvy2XXGSi5gkTX2f5n,1264.05,19
44,bw6vcqL1yRCyANaxghHXBoN2klKwoCKDxEyPu9FhQHVOUt9y,jgJodCJTsW7oX8aL0vh7BF2hnJ2gmwHMSQytS5A8R8np6Byu,881.67,47
45,QEJPtWFR5QEhQMkDPYR7VWejbxythvfv0o9j9Ey4S0chDAkS,wTpyXgTApKeQ6mcM2O3JJ4Ha2sDwt0egHKUeqldTv7jrj93a,1844.36,44
46,ZzPuJsSidGR8zwupZtMYvBQC1sj2rHIG7WyGEGpfK4eApMnE,NvjUpotfXwPEktks12KfclxNjU5GUweffB0KqhnBR2F2koiZ,951.17,22
47,50aozqqqXNhEVpIQB6WDB9jL2BJfNxjGl7uanZEAmlC5RKLQ,eq56SsIzCB3UxWyTXmbBJDCa5GQdsw3KdyFteNgeOXz9tnQF,1407.34,46
48,HgUGd1PT2ZyDKVJtS1J6QN41z7uEF4UKaoQ1dgLT39WBVfun,PsGYvHwoLDG3z9BQvG7NRdrfzediHtnUZsqIzbvAe11Ry0ij,555.37,49
49,V3hlEaa3VJ5aDQld2zSWTdnKdALyd3Zyu5YxVwqq5kE80nZs,5duM7bqu4JQB02UQk8YZZJX18MJwCpT7IDIDdyxX5CWt4q9e,1179.55,48
50,dsCwLq5moEYH8y6qrSdCEIqAsu6iYWO1CRlL5gyjjMoh8kLn,nW1CdO2caBMaogWujeyCQjXJlu2fa07BMyCnA4DY3QzhuJRR,221.77,11
51,2pp5xV5dE19cLNRLc0XXVJ44VjbSHm38Pj3A2yd6ncWxon8G,nDU1lrAKZ0o0qlz0Y1eYvfvmtiJdrZvSaDJ9sHKI7w6oVvct,1583.66,37
52,eTczcWtw3ICBs596c06VmaPN0mAeN7jrOBerVLdPRdO8YL41,l4GWaz9JXGlEdWW2Xd1Fk9NhvHJH3myeg2y6rvEE0pGT9aJW,1950.78,11
